name,address,phone,principal,grades,division
River Bend Elementary,"14556 Rockingham Pike, Elkton, VA 22827",540-298-5301,Ms. Sharon Martz,PK-5,Rockingham County Public Schools
River Bend Middle,"46240 Algonkian Pkwy., Sterling, VA 20165",571-434-3220,Mr. Bennett P. Lacy,6-8,Loudoun County Public Schools
River Oaks Elementary,"16950 McGuffeys Trail, Woodbridge, VA 22191",703-441-0050,Aerica A. Williams,PK-5,Prince William County Public Schools
Riverbend High,"12301 Spotswood Furnace Rd., Fredericksburg, VA 22407",540-548-4051,Dr. Troy N. Wright,9-12,Spotsylvania County Public Schools
Riverdale Elementary,"31023 Camp Parkway, Courtland, VA 23837",757-562-3007,Miss Debra Hicks,PK-5,Southampton County Public Schools
Riverheads Elementary,"17 Howardsville Rd, Staunton, VA 24401",540-337-2535,Mrs. Marquerite R. McDonald,PK-5,Augusta County Public Schools
Riverheads High,"19 Howardsville Rd, Staunton, VA 24401",540-337-1921,Mr. Max W. Lowe,9-12,Augusta County Public Schools
Riverlawn Elementary,"8100 Beth Nelson Drive, Fairlawn, VA 24141",540-643-0748,Mr. John Bowler,PK-5,Pulaski County Public Schools
Rivers Edge Elementary,"11600 Holman Ridge Rd., Glen Allen, VA 23059",804-935-6760,Mrs. Johnna W. Riley,PK-5,Henrico County Public Schools
Riverside Elementary,"8410 Old Mount Vernon Rd, Alexandria, VA 22309",703-799-6000,Mrs. Lori Morton,PK-6,Fairfax County Public Schools
Riverside Elementary,"1100 Country Club Road, Newport News, VA 23606",757-591-4740,Ms. Annette Walls,PK-5,Newport News Public Schools
Riverview Elementary,"7001 N Roxbury Mill Rd, Spotsylvania, VA 22553",540-582-7617,Dianne W. Holmes,PK-5,Spotsylvania County Public Schools
Riverview Elementary/Middle,"27382 Riverside Drive, Grundy, VA 24614",276-935-1613,Mrs. Debbie Lester,PK-8,Buchanan County Public Schools
Roanoke Academy For Mathematics & Science Elementary,"1616 Nineteenth Street, NW, Roanoke, VA 24017",540-853-2751,Ms. Toni Belton,PK-5,Roanoke Public Schools
Robert E. Aylor Middle,"901 Aylor Rd, Stephens City, VA 22655",540-869-3736,Mr. David L. Rudy,6-8,Frederick County Public Schools
Robert E. Lee Elementary,"51 Gibbons St, Petersburg, VA 23803",804-862-7007,Mrs. Barbara A. Patterson,KG-5,Petersburg Public Schools
Robert E. Lee Elementary,"7415 Brock Rd, Spotsylvania, VA 22553",540-582-5445,Daryl Lann,PK-5,Spotsylvania County Public Schools
Robert E. Lee High,"1200 N Coalter St, Staunton, VA 24401-2598",540-332-3926,Dr. Mark Rowicki,9-12,Staunton Public Schools
Robert S. Payne Elementary,"1201 Floyd St, Lynchburg, VA 24501-1913",434-522-3762,Mr. John E. Blakely,PK-5,Lynchburg Public Schools
Robinson Secondary,"5035 Sideburn Rd, Fairfax, VA 22032",703-426-2100,Mr. Matthew W Eline,7-12,Fairfax County Public Schools
Robious Elementary,"2801 Robious Crossing Dr., Midlothian, VA 23113-2188",804-378-2500,Stacey Austin,PK-5,Chesterfield County Public Schools
Robious Middle,"2701 Robious Crossing Dr, Midlothian, VA 23113-2187",804-378-2510,Dr. Patrick Held,6-8,Chesterfield County Public Schools
Rockbridge County High School,"143 Greenhouse Rd, Lexington, VA 24450-8806",540-463-5555,Mr. Scott L. Jefferies,9-12,Rockbridge County Public Schools
Rockfish River Elementary,"200 Chapel Hollow Rd, Afton, VA 22920",434-361-1791,Ms. Kim M Candler,PK-5,Nelson County Public Schools
Rockhill Elementary,"50 Wood Dr, Stafford, VA 22556",540-658-6360,Ms. Patricia A. Johnston,PK-5,Stafford County Public Schools
Rockledge Elementary,"2300 Mariner Ln, Woodbridge, VA 22192",703-491-2108,Ms. Amy Schott,PK-5,Prince William County Public Schools
Rocky Gap Elementary,"83 Eagles Road, Rocky Gap, VA 24366-0339",276-928-1086,Mr. Gary O. Williams,KG-7,Bland County Public Schools
Rocky Gap High,"176 Eagles Road, Rocky Gap, VA 24366-0009",276-928-1100,Mrs. Deborah Hensley,8-12,Bland County Public Schools
Rocky Mount Elementary,"555 School Board Rd, Rocky Mount, VA 24151",540-483-5040,Mr. S. Jerome Johnson,PK-5,Franklin County Public Schools
Rocky Run E.C. Resource Ctr.,"4400 Stringfellow Rd, Chantilly, VA 20151",703-802-7788,Ms. Beth Sebastianelli,PK,Fairfax County Public Schools
Rocky Run Elementary,"95 Reservoir Rd, Fredericksburg, VA 22406",540-286-1956,Mr. Nicholas R. Roman,PK-5,Stafford County Public Schools
Rocky Run Middle,"4400 Stringfellow Rd, Chantilly, VA 20151-2540",703-802-7700,Mr. Joseph Graczyk,7-8,Fairfax County Public Schools
Rodney E. Thompson Middle,"75 Walpole St, Stafford, VA 22554",540-658-6420,Dr. Andrew T. Grider,6-8,Stafford County Public Schools
Rolling Ridge Elementary,"500 E Frederick Dr, Sterling, VA 20164",571-434-4540,Andrew Davis,PK-5,Loudoun County Public Schools
Rolling Valley Elementary,"6703 Barnack Dr, Springfield, VA 22152",703-923-2700,Ms. Maureen Boland,PK-6,Fairfax County Public Schools
Ronald Wilson Reagan Middle,"15801 Tanning House Place, Haymarket, VA 20169",571-402-3500,Dr. L. Edward Stephenson,6-8,Prince William County Public Schools
Rosa Lee Carter Elementary,"43330 Loudoun Reserve Drive, Ashburn, VA 20148",703-957-4490,Michele Freeman,PK-5,Loudoun County Public Schools
Rosa Parks Elementary,"13446 Princedale Drive, Woodbridge, VA 22193",703-580-9665,Ms. Susan Danielson,PK-5,Prince William County Public Schools
Rose Hill Elementary,"6301 Rose Hill Dr, Alexandria, VA 22310",703-313-4200,Ms. Elizabeth L. Obester,PK-6,Fairfax County Public Schools
Rose Hill Elementary,"150 Rose Hill Drive, Rose Hill, VA 24281-9716",276-445-4094, ,PK-4,Lee County Public Schools
Rosemont Elementary,"1257 Rosemont Rd, Virginia Beach, VA 23456",757-648-3600,Cari Hall,PK-5,Virginia Beach Public Schools
Rosemont Forest Elementary,"1716 Grey Friars Chase, Virginia Beach, VA 23456",757-648-3640,Mr. Gregory Furlich,PK-5,Virginia Beach Public Schools
Round Hill Elementary,"17115 Evening Star Dr, Round Hill, VA 20141",540-751-2450,Mrs. Nancy E. McManus,PK-5,Loudoun County Public Schools
Round Hill Elementary,"2020 Oakland Boulevard, Roanoke, VA 24012",540-853-2756,Mr. Corbett Hawks,PK-5,Roanoke Public Schools
Ruby F. Carver Elementary,"1801 Lauderdale Rd, Richmond, VA 23233",804-750-2640,Dr. Eric T. Armbruster,PK-5,Henrico County Public Schools
Ruckersville Elementary,"105 Progress Place, Ruckersville, VA 22968",434-985-1472,Dr. Charles Heaton,KG-5,Greene County Public Schools
Rural Point Elementary,"7161 Studley Road, Mechanicsville, VA 23116",804-723-3580,Ms. Nicolle Currie,PK-5,Hanover County Public Schools
Rural Retreat Elementary,"100 Martha Debord Way, Rural Retreat, VA 24386",276-686-4125,Mrs. Mary U. Walters,PK-5,Wythe County Public Schools
Rural Retreat High,"321 E Buck St, Rural Retreat, VA 24368-2528",276-686-4143,Mr. Micheal L. Neal,9-12,Wythe County Public Schools
Rural Retreat Middle,"325 E. Buck Ave., Rural Retreat, VA 24368",276-686-5200,Ms. Shannon S. Phillips,6-8,Wythe County Public Schools
Russell County Voc.,"1 Vocational School Road, Lebanon, VA 24266",276-889-6550,Mrs. Brenda Campbell,,Russell County Public Schools
Russell Prater Elementary,"8433 Lovers Gap Road, Vansant, VA 24656",276-597-7552,Mrs. Melanie Hibbitts,PK-5,Buchanan County Public Schools
Rustburg Elementary,"201 Village Hwy, Rustburg, VA 24588",434-332-5215,Mr. Lee Shearer,PK-5,Campbell County Public Schools
Rustburg High,"1671 Village Hwy, Rustburg, VA 24588",434-332-5171,Mr. Clay Stanley,9-12,Campbell County Public Schools
Rustburg Middle,"555 Village Highway, Rustburg, VA 24588",434-332-5141,Mrs. Kathy Bowles,6-8,Campbell County Public Schools
Rye Cove High,"164 Eagles Nest Lane, Duffield, VA 24244",276-940-2701,Mr. Reagan Mullins,8-12,Scott County Public Schools
Rye Cove Intermediate,"158 Memorial School Lane, Clinchport, VA 24244",276-940-2322,Mr. Timothy Spicer,5-7,Scott County Public Schools
S. Gordon Stewart Middle,"118 Fort Defiance Rd, Fort Defiance, VA 24437",540-245-5046,Dr. Brenda M Walton,6-8,Augusta County Public Schools
S.P. Morton Elementary,"300 Morton Street, Franklin, VA 23851-2000",757-562-5458,Mr. Debbie Harris Rollins,PK-5,Franklin Public Schools
Salem Church Elementary,"9600 Salem Church Rd., Richmond, VA 23237-3130",804-768-6215,Cathy Cameron,PK-5,Chesterfield County Public Schools
Salem Church Middle,"9700 Salem Church Rd.;, Richmond, VA 23237-3128",804-768-6225,Dr. Greg Ecroyd,6-8,Chesterfield County Public Schools
Salem Elementary,"4501 Jackson Rd, Fredericksburg, VA 22407",540-786-8218,Mr. Harold E. Morton,PK-5,Spotsylvania County Public Schools
Salem Elementary,"3961 Salem Lakes Blvd, Virginia Beach, VA 23456",757-648-3680,Mrs. Janet J. Zitt,PK-5,Virginia Beach Public Schools
Salem High,"400 Spartan Dr, Salem, VA 24153-3296",540-387-2437,Mr. Scott Habeeb,9-12,Salem Public Schools
Salem High,"1993 Sun Devil Dr, Virginia Beach, VA 22464-8522",757-648-5650,Daniel F Keever,9-12,Virginia Beach Public Schools
Salem Middle,"2380 Lynnhaven Pkwy, Virginia Beach, VA 23464",757-648-5000,James Avila,6-8,Virginia Beach Public Schools
Saltville Elementary,"1013 E Main St, Saltville, VA 24370",276-496-4751,Ms. Brenda M. Boone,PK-5,Smyth County Public Schools
Samuel L. Gravely Jr. Elementary,"4670 Waverly Farm Drive, Haymarket, VA 20169",571-248-4930,Angela Owens,PK-5,Prince William County Public Schools
Samuel P. Langley Elementary,"16 Rockwell Rd, Hampton, VA 23669",757-850-5105,Ms. Kathryn R. Hermann,KG-5,Hampton Public Schools
Samuel W. Tucker Elementary,"435 Ferdinand Day Dr, Alexandria, VA 22304",703-933-6300,C. Rene Paschal,KG-5,Alexandria Public Schools
Sandburg Middle,"8428 Fort Hunt Rd, Alexandria, VA 22308",703-799-6100,Mr. Terrence Yarborough,7-8,Fairfax County Public Schools
Sanders Corner Elementary,"43100 Ashburn Farm Pkwy, Ashburn, VA 20147",571-252-2250,Michael Jacques,PK-5,Loudoun County Public Schools
Sandlick Elementary,"186 Anderson Lane, Birchleaf, VA 24220-0188",276-865-5361,Ms. Sherry Willis,PK-7,Dickenson County Public Schools
Sandston Elementary,"7 Naglee Ave, Sandston, VA 23150",804-328-4055,Mrs. Mary E. Cox,PK-5,Henrico County Public Schools
Sandusky Elementary,"5828 Apache Ln, Lynchburg, VA 24502-4998",434-582-1111,Mr. Derrick E. Womack,PK-5,Lynchburg Public Schools
Sandusky Middle,"805 Chinook Place, Lynchburg, VA 24502-4999",434-582-1120,Mrs. Maria T. Jaeger,6-8,Lynchburg Public Schools
Sandy Hook Elementary,"162 Stickley Loop, Strasburg, VA 22657",540-465-8281,Robin Shrum,PK-5,Shenandoah County Public Schools
Sangster Elementary,"7420 Reservation Dr, Springfield, VA 22153",703-644-8200,Mr. Christopher L. Summers,PK-6,Fairfax County Public Schools
Sanville Elementary,"19 Sanville School Rd, Bassett, VA 24055",276-629-5301,Dr. Sally T. Rodgers,PK-5,Henry County Public Schools
Saratoga Elementary,"8111 Northumberland Rd, Springfield, VA 22153",703-440-2600,Ms. Patricia Conklin,PK-6,Fairfax County Public Schools
Schoolfield Elementary,"1400 W Main St, Danville, VA 24541",434-799-6455,Mrs. Darlene Logan,KG-5,Danville Public Schools
Science And Technology Center,"600 Edmund St, Bedford, VA 24523",540-586-3933,Mrs. Barbara Rezzonico,,Bedford County Public Schools
Scott County Career and Technical Center,"387 Broadwater Ave, Gate City, VA 24251",276-386-6515,Ralph Quesinberry,,Scott County Public Schools
Scott Memorial Middle,"950 S. Seventh St., Wytheville, VA 24382",276-228-2851,Mr. Brad Haga,6-8,Wythe County Public Schools
Scottsburg Elementary,"1010 Scottsburg School Trail, Scottsburg, VA 24589",434-454-6454,Mrs. Catherine T. Glass,KG-5,Halifax County Public Schools
Scottsville Elementary,"7868 Scottsville Road, Scottsville, VA 24590-9792",434-286-2441,Sharon Amato-Wilcox,PK-5,Albemarle County Public Schools
Seaford Elementary,"1105 Seaford Rd, Seaford, VA 23696",757-898-0352,Christina Head,KG-5,York County Public Schools
Sealston Elementary,"11048 Fletcher's Chapel Rd., King George, VA 22485",540-775-3400,Mrs. Elizabeth Yezierski,KG-6,King George County Public Schools
Seatack Elementary,"912 S Birdneck Road, Virginia Beach, VA 23451-1111",757-437-4867,Dr. Mary F. Daniels,PK-5,Virginia Beach Public Schools
Secondary Head Start Centers,"2334 Gallows Rd, Dunn Loring, VA 22027",703-277-6722,Ms. Maura D. Burke,,Fairfax County Public Schools
Sedgefield Elementary,"804 Main Street, Newport News, VA 23605",757-591-4788,Mrs. Shannon M. Panko,PK-5,Newport News Public Schools
Seldens Landing Elementary,"43345 Coton Commons Dr., Leesburg, VA 20176",571-252-2260,Tracy Stephens,PK-5,Loudoun County Public Schools
Seneca Ridge Middle,"98 Seneca Ridge Dr, Sterling, VA 20164",571-434-4420,Mr. Mark McDermott,6-8,Loudoun County Public Schools
Seven Pines Elementary,"301 Beulah Rd, Sandston, VA 23150",804-328-4065,Ms. Terri W. Mothershead,PK-5,Henrico County Public Schools
Sewells Point Elementary,"7928 Hampton Blvd, Norfolk, VA 23505",757-451-4160,Ms. Mary Wrushen,PK-5,Norfolk Public Schools
Shady Grove Elementary,"12200 Wyndham Lake Dr, Glen Allen, VA 23059",804-360-0825,Dr. Regina V. Schwab,PK-5,Henrico County Public Schools
Sharon C. McAuliffe Elementary,"13540 Princedale Dr, Woodbridge, VA 22193",703-680-7270,Cynthia Anne West,PK-5,Prince William County Public Schools
Sharon Elementary,"100 Sharon School Circle, Clifton Forge, VA 24422",540-863-1712,Mr. Sherman Callahan,KG-5,Alleghany County Public Schools
Shawsville Middle,"4179 Old Town Rd, Shawsville, VA 24162",540-268-2262,Mr. David Dickinson,6-8,Montgomery County Public Schools
Sheffey Elementary,"621 Piney Mt. Rd, Wytheville, VA 24382",276-699-1771,Mr. Chad Newman,PK-5,Wythe County Public Schools
Sheffield Elementary School,"115 Kenwood Place, Lynchburg, VA 24502-2119",434-582-1115,Ms. Diane S. Swain,PK-5,Lynchburg Public Schools
Shelburne Middle,"300 Grubert Ave, Staunton, VA 24401-2996",540-332-3930,Mr. Robert Craft,6-8,Staunton Public Schools
Shelton Park Elementary,"1700 Shelton Rd, Virginia Beach, VA 23455",757-460-7577,Mr. Geoffrey T Timlin,PK-5,Virginia Beach Public Schools
Shenandoah Elementary,"529 4th Street, Shenandoah, VA 22849",540-652-8621,Mrs. Denise Atkins,KG-5,Page County Public Schools
Sherando High,"185 South Warrior Drive, Stephens City, VA 22655",540-869-0060,Mr. John H. Nelson,9-12,Frederick County Public Schools
Sherman Elementary,"6633 Brawner St, Mclean, VA 22101",703-506-7900,Ms. Kathleen Quigley,PK-6,Fairfax County Public Schools
Sherwood Forest Elementary,"3035 Sherwood Forest Lane, Norfolk, VA 23513",757-852-4500,Ms. Cheryl Jordan,PK-5,Norfolk Public Schools
Shirley C. Heim Middle,"320 Telegraph Road, Stafford, VA 22554",540-658-5910,Ms. Mary Grace McGraw,6-8,Stafford County Public Schools
Shoemaker Elementary,"218 Shoemaker Dr, Gate City, VA 24251",276-386-7002,Ms. Renee Dishner,KG-6,Scott County Public Schools
Short Pump Elementary,"3425 Pump Rd, Richmond, VA 23233",804-360-0812,Ms. Amy H. Hand,PK-5,Henrico County Public Schools
Short Pump Middle,"4701 Pouncey Tract Rd, Glen Allen, VA 23060",804-360-0800,Dr. Mark E. Chamberlain,6-8,Henrico County Public Schools
Shrevewood Elementary,"7525 Shreve Rd, Falls Church, VA 22043",703-645-6600,Ms. Michelle I. Eugene,PK-6,Fairfax County Public Schools
Signal Hill Elementary,"9553 Birmingham Dr, Manassas, VA 20111",703-530-7541,Cindy Wrenn,PK-5,Prince William County Public Schools
Signal Knob Middle,"687 Sandy Hook Road, Strasburg, VA 22657",540-465-3422,Mr. Chris R. Cook,6-8,Shenandoah County Public Schools
Silverbrook Elementary,"9350 Crosspointe Dr, Fairfax Station, VA 22039",703-690-5100,Ms. Melaney Mackin,PK-6,Fairfax County Public Schools
Simonsdale Elementary,"4841 Clifford Street, Portsmouth, VA 23701-1004",757-465-2917,Mrs. Darlene F. Bright,KG-6,Portsmouth Public Schools
Sinai Elementary,"1011 Sinai Elementary Drive, Halifax, VA 24558",434-476-6193,Mr. Kevin M. Neal,KG-5,Halifax County Public Schools
Skipwith Elementary,"2401 Skipwith Rd, Richmond, VA 23294",804-527-4650,Dr. Kaye M. Thomas,PK-5,Henrico County Public Schools
Skyline High,"151 Skyline Vista Drive, Front Royal, VA 22630",540-631-0366,Mr. Andrew C. Keller,8-12,Warren County Public Schools
Skyline Middle,"470 Linda Lane, Harrisonburg, VA 22802",540-434-6862,Mr. Joe Glick,5-8,Harrisonburg Public Schools
Sleepy Hollow Elementary,"3333 Sleepy Hollow Rd, Falls Church, VA 22044",703-237-7000,Ms. Lisa Barrow,PK-5,Fairfax County Public Schools
Smart's Mill Middle,"850 N. King St., Leesburg, VA 20176",571-252-2030,Will Waldman,6-8,Loudoun County Public Schools
Smith Station Elementary,"7320 Smith Station Road, Fredericksburg, VA 22407",540-786-5443,Christine Primo,PK-5,Spotsylvania County Public Schools
Smithfield High,"14171 Turner Dr, Smithfield, VA 23430",757-357-3108,Mrs. Joyce McDowell,9-12,Isle of Wight County Public Schools
Smithfield Middle,"14175 Turner Drive, Smithfield, VA 23430",757-365-4100,Mr. Jeffrey Mordica,7-8,Isle of Wight County Public Schools
Smithland Elementary,"474 Linda Lane, Harrisonburg, VA 22802",540-434-6075,Mr. Gary L. Painter,KG-4,Harrisonburg Public Schools
Smyth County Career & Technical Center,"147 Fox Valley Rd, Marion, VA 24354",276-646-8117,Mrs. Songia Widener,,Smyth County Public Schools
Snow Creek Elementary,"5393 Snow Creek Rd, Penhook, VA 24137",540-483-5599,Mr. Kenneth Grindstaff,PK-5,Franklin County Public Schools
Snowville Elementary,"4858 Lead Mine Rd, Hiwassee, VA 24347",540-643-0766,Dr. Bridget Parsons,PK-5,Pulaski County Public Schools
SOAR Academy,"13496 Liberty School Road, Ashland, VA 23005",804-365-8060, ,,Hanover County Public Schools
Sonnie Penn Elementary,"12980 Queen Chapel Rd, Woodbridge, VA 22193",703-590-0344,Ms. Linda Hange,PK-5,Prince William County Public Schools
Sontag Elementary,"3101 Sontag Rd, Rocky Mount, VA 24151",540-483-5667,Mr. William D. Robey,PK-5,Franklin County Public Schools
South Anna Elementary,"13122 Waltons Tavern Road, Montpelier, VA 23192",804-883-6089,Mr. Michael Mudd,PK-5,Hanover County Public Schools
South Boston Elementary,"2320 Parker Avenue, South Boston, VA 24592",434-517-2620,Mrs. Susan A. Bagbey,KG-5,Halifax County Public Schools
South Boston/Halifax Early Learning Center,"1927 Jeffress Blvd., South Boston, VA 24592",434-572-4273,Mrs. Priscilla E. Price,PK,Halifax County Public Schools
South County High,"8501 Silverbrook Road, Lorton, VA 22079",703-446-1600,Ms. Jane Lipp,9-12,Fairfax County Public Schools
South County Middle,"8700 Laurel Crest Dr., Lorton, VA 22079",703-690-5500,Ms. Marsha Manning,7-8,Fairfax County Public Schools
South Elementary,"13400 Prince George Dr, Disputanta, VA 23842",804-733-2755,Mrs. Robin Pruett,PK-5,Prince George County Public Schools
South Hill Elementary,"1290 Plank Road, South Hill, VA 23970",434-447-8134,Mrs. Joan Covington,PK-5,Mecklenburg County Public Schools
South Lakes High,"11400 South Lakes Dr, Reston, VA 20191-4199",703-715-4500,Ms. Kimberly B Retzer,9-12,Fairfax County Public Schools
South River Elementary,"2101 Elm Ave, Grottoes, VA 24441",540-249-4001,Mr. Larry Shifflett,PK-5,Rockingham County Public Schools
South Salem Elementary,"1600 Carolyn Rd, Salem, VA 24153-5999",540-387-2478,Mrs. Margaret E. Humphrey,KG-5,Salem Public Schools
Southampton Elementary,"3333 Cheverly Rd, Richmond, VA 23225-1499",804-320-2434,Mrs. Sheleta R. Crews,PK-5,Richmond Public Schools
Southampton High,"23350 Southampton Pkwy, Courtland, VA 23837",757-653-2751,Mrs. Allene Atkinson,9-12,Southampton County Public Schools
Southampton Middle,"23450 Southampton Pkwy, Courtland, VA 23837",757-653-9250,Miss Samantha Milteer,6-8,Southampton County Public Schools
Southeastern Elementary,"1853 Battlefield Blvd S, Chesapeake, VA 23322",757-421-7676,Ms. Hope Terrell,PK-5,Chesapeake Public Schools
Southside Elementary,"440 East Witt Rd, Blairs, VA 24527",434-836-0006,Ms. Regina E. Majied,PK-5,Pittsylvania County Public Schools
Southside Elementary School,"10305 Boydton Plank Rd, Dinwiddie, VA 23841",804-469-4480,Mrs. Lucy Michelle Jones,KG-5,Dinwiddie County Public Schools
Southwestern Elementary,"4410 Airline Blvd, Chesapeake, VA 23321",757-465-6310,Mrs. Sonya L. Beasley,PK-5,Chesapeake Public Schools
Southwestern Elementary,"9301 Southwestern Blvd, Suffolk, VA 23437",757-934-6213,Christopher Phillips,PK-5,Suffolk Public Schools
Sparrow Road Intermediate,"1605 Sparrow Rd, Chesapeake, VA 23325",757-578-7050,Ms. Sharon L. Popson,4-5,Chesapeake Public Schools
Speedwell Elementary,"6820 Cedar Springs Rd, Speedwell, VA 24374",276-621-4622,Alan Rouse,PK-5,Wythe County Public Schools
Spiller Elementary,"330 Tazewell St, Wytheville, VA 24382",276-228-3561,Mrs. Kimberly S. Ingo,PK-5,Wythe County Public Schools
Spotswood Elementary,"400 Mountain View Drive, Harrisonburg, VA 22801",540-434-3429,Ms. Ann D. Conners,KG-4,Harrisonburg Public Schools
Spotswood Elementary,"400 Lorraine Ave, Fredericksburg, VA 22408",540-898-1514,Robin Monroe,PK-5,Spotsylvania County Public Schools
Spotswood High,"368 Blazer Drive, Penn Laird, VA 22846",540-289-3100,Dr. Stephen R. Leaman,9-12,Rockingham County Public Schools
Spotsylvania Career and Technical Center,"6713 Smith Station Rd, Spotsylvania, VA 22553",540-898-2655,Mr. Gregory L. Browning,,Spotsylvania County Public Schools
Spotsylvania High,"6975 Courthouse Rd, Spotsylvania, VA 22551",540-582-3882,Russel R. Davis,9-12,Spotsylvania County Public Schools
Spotsylvania Middle,"8801 Courthouse Rd, Spotsylvania, VA 22553",540-582-6341,Michael Lane Byrd,6-8,Spotsylvania County Public Schools
Spring Hill Elementary,"8201 Lewinsville Rd, Mclean, VA 22102",703-506-3400,Mr. Roger Vanderhye,PK-6,Fairfax County Public Schools
Spring Run Elementary,"13901 Spring Run Rd, Midlothian, VA 23112-1708",804-639-6352,Christopher Hart,PK-5,Chesterfield County Public Schools
Springfield Elementary,"158 Big Spring Lane, Rileyville, VA 22650",540-743-3750,Mrs. Teresa B. Day,KG-5,Page County Public Schools
Springfield Estates Elementary,"6200 Charles Goff Dr, Springfield, VA 22150",703-921-2300,Ms. Mary Randolph,PK-6,Fairfax County Public Schools
Springfield Park Elementary,"4301 Fort McHenry Pkwy, Glen Allen, VA 23060",804-527-4630,Ms. Tamara B. Jones,PK-5,Henrico County Public Schools
Springville Elementary,"144 Schoolhouse Road, North Tazewell, VA 24630-9752",276-322-5900,Mr. Rodney Gillespie,KG-5,Tazewell County Public Schools
Springwoods Elementary,"3815 Marquis Place, Woodbridge, VA 22192",703-590-9874,Ms. Lyn Marsilio,PK-5,Prince William County Public Schools
St. Charles Elementary,"2434 St. Charles Road, St Charles, VA 24282",276-383-4531, ,PK-5,Lee County Public Schools
St. Clare Walker Middle,"6814 General Puller Highway, Locust Hill, VA 23092",804-758-2561,Mrs. Tracy Seitz,6-8,Middlesex County Public Schools
St. Helena Elementary,"903 S Main St, Norfolk, VA 23523",757-494-3884,Ms. Vandelyn Hodges,PK-5,Norfolk Public Schools
St. Paul Elementary,"3200 Deacon Drive, St Paul, VA 24283",276-762-5941,Jody Evans,PK-8,Wise County Public Schools
St. Paul School,"231 Flower Gap Road, Cana, VA 24317",276-755-3512,Mrs. Nancy F. Wilmoth,PK-7,Carroll County Public Schools
Stafford Elementary,"1349 Courthouse Rd, Stafford, VA 22554",540-658-6340,Mrs. Mary P. Foreman,PK-5,Stafford County Public Schools
Stafford Middle,"101 Spartan Dr, Stafford, VA 22554",540-658-6210,Mr. Mark J. Smith,6-8,Stafford County Public Schools
Stafford Senior High,"33 Stafford Indian Lane, Fredericksburg, VA 22405",540-371-7200,Mr. Joseph R. Lewis,9-12,Stafford County Public Schools
Stanley Elementary,"306 Aylor Grubbs Ave, Stanley, VA 22851",540-778-2612,Mrs. Catherine Marston,KG-5,Page County Public Schools
Stanleytown Elementary,"74 Edgewood Dr, Stanleytown, VA 24168",276-629-5084,Mrs. Laryssa Hairston-Penn,PK-5,Henry County Public Schools
Staunton City School PreSchool Programs,"Dixon Educational Center, 1751 Shutterlee Mill Road, Staunton, VA 24401",540-332-3934, ,PK,Staunton Public Schools
Staunton River High,"1095 Golden Eagle Dr, Moneta, VA 24121",540-297-7151,Ms. Michelle L Morgan,9-12,Bedford County Public Schools
Staunton River Middle,"1293 Golden Eagle Drive, Moneta, VA 24121",540-297-4152,Mrs. Karen Woodford,6-8,Bedford County Public Schools
Stenwood Elementary,"2620 Gallows Rd, Vienna, VA 22180",703-208-7600,Ms. Peggy Dammeyer,PK-6,Fairfax County Public Schools
Sterling Elementary,"200 W Church Rd, Sterling, VA 20164",571-434-4580,Jennifer Scott,PK-5,Loudoun County Public Schools
Sterling Middle,"201 W Holly Ave, Sterling, VA 20164",571-434-4520,Nereida Gonzalez-Sals,6-8,Loudoun County Public Schools
Steuart W. Weller Elementary,"20700 Marblehead Drive, Ashburn, VA 20147",571-252-2360,Janet A. Platenberg,PK-5,Loudoun County Public Schools
Stewartsville Elementary,"1138 Wildcat Rd, Goodview, VA 24095",540-890-2174,Mrs. Susan Mele,PK-5,Bedford County Public Schools
Stone Bridge High,"43100 Hay Road, Ashburn, VA 20147",571-252-2200,Mr. James E. Person,9-12,Loudoun County Public Schools
Stone Hill Middle,"23415 Evergreen Ridge Drive, Ashburn, VA 20148",703-957-4420,Rodney Moore,6-8,Loudoun County Public Schools
Stone Middle,"5500 Sully Park Dr., Centreville, VA 20120",703-631-5500,Ms. Amielia S. Mitchell,7-8,Fairfax County Public Schools
Stone Robinson Elementary,"958 North Milton Road, Charlottesville, VA 22911-3612",434-296-3754,Dr. Nicholas J King,PK-5,Albemarle County Public Schools
Stone Spring Elementary,"1575 Peach Grove Ave, Harrisonburg, VA 22801",540-574-1199,Mr. W. Lynn Sprouse,KG-4,Harrisonburg Public Schools
Stonehouse Elementary,"3651 Rochambeau Dr, Williamsburg, VA 23188",757-566-4300,Kimberly Pickles,KG-5,Williamsburg-James City County Public Schools
Stonewall Elementary,"3165 Martinsburg Pike, Clear Brook, VA 22624",540-662-2289,Mr. Darren Thomas,KG-5,Frederick County Public Schools
Stonewall Jackson Elementary,"2045 Euclid Ave, Bristol, VA 24201",276-821-5740,Dr. Linda Brittle,PK-5,Bristol Public Schools
Stonewall Jackson High,"8820 Rixlew Ln, Manassas, VA 20109",703-365-2900,Mr. Richard Nichols,9-12,Prince William County Public Schools
Stonewall Jackson High,"150 Stonewall Ln, Quicksburg, VA 22847-1429",540-477-2732,Mr. Michael J. Dorman,9-12,Shenandoah County Public Schools
Stonewall Jackson Middle,"8021 Lee Davis Road, Mechanicsville, VA 23111",804-723-2260,Ms. Nancy Disharoon,6-8,Hanover County Public Schools
Stonewall Jackson Middle,"1004 Montrose Ave SE, Roanoke, VA 24013",540-853-6040,Mr. Bill Birdlebough,6-8,Roanoke Public Schools
